method,n,psnr,std_psnr,delta_e,ssim,l1
identity,,20.4463,,9.1632,0.7704,0.0856
histmatch,,17.1049,,14.5249,0.6571,0.1188
oracle/shared,,27.225,,3.3996,0.8338,0.028
oracle/per_channel,,27.2374,,3.3955,0.8345,0.0279
head/per_channel,10,20.5993,0.3052,10.5723,0.7665,0.083
head/per_channel,25,20.2305,1.0277,10.4719,0.759,0.089
head/per_channel,50,20.7039,0.579,9.5279,0.77,0.0841
head/per_channel,100,21.127,0.2313,9.0908,0.7757,0.0788
head/per_channel,250,21.4993,0.0,7.9901,0.7841,0.0748
head/per_channel,1000,21.432,0.0,8.9627,0.7861,0.0747
head/per_channel,1882,22.1942,0.0,7.3439,0.7949,0.0675
head/shared,10,20.4895,0.3133,10.1606,0.7548,0.0838
preset/per_channel,10,20.6373,0.0333,9.2719,0.7623,0.0836
preset/per_channel,25,20.9839,0.1881,8.6547,0.7712,0.0795
preset/per_channel,50,21.0866,0.0169,8.393,0.7735,0.0785
preset/per_channel,100,21.1067,0.0374,8.2698,0.7744,0.0782
preset/per_channel,250,21.119,0.0,8.3035,0.7746,0.078
preset/per_channel,1000,21.2242,0.0,8.1276,0.7764,0.0775
preset/per_channel,1882,21.1582,0.0,8.27,0.7757,0.0779
preset/shared,10,20.3492,0.402,9.5,0.7528,0.0857
