file,sha256,regime,score,person_frac,dof_log_ratio,license,license_version,license_url,title,creator,creator_url,source,landing_url,image_url,attribution,openverse_id,query,L_p01,L_p50,L_p99,shadow_frac,shadow_a,shadow_b,mid_a,mid_b,high_a,high_b,sat_mean,chroma_mean
0000_night_fe122f65.jpg,619423ccb617f773b15b16e8ef17c8cf24864fd2fb0a532309c20ee721a2d74c,night,0.9101,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,Shibuya Night (HDR),Guwashi999,https://www.flickr.com/photos/16877319@N07,flickr,https://www.flickr.com/photos/16877319@N07/2491680523,https://live.staticflickr.com/2402/2491680523_8be5b3a870_b.jpg,"""Shibuya Night (HDR)"" by Guwashi999, CC BY 2.0, via flickr",fe122f65-9dbd-495f-b3ad-c38a7834bff1,city night neon street,1.136,24.843,93.134,0.503,0.629,-7.517,1.332,-8.179,-9.533,1.117,0.439,14.684
0001_night_46bcb416.jpg,0326101d337dc71c25120272b64a991cf863ff24c222aaba6b6114f1cd4319fd,night,0.7962,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,Akihabara Night #2,Guwashi999,https://www.flickr.com/photos/16877319@N07,flickr,https://www.flickr.com/photos/16877319@N07/4774643570,https://live.staticflickr.com/4099/4774643570_27a0177ffe_b.jpg,"""Akihabara Night #2"" by Guwashi999, CC BY 2.0, via flickr",46bcb416-1a1d-451f-8c8f-c993bfe0d983,city night neon street,0.0,24.685,98.5,0.503,0.293,-7.421,4.525,-11.968,4.774,-1.516,0.546,17.356
0002_day_499c8bc6.jpg,868842a7b75f713bb3416c3b74083a43481e71be1703b86c4f3c069823634881,day,0.7949,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,"Acorn Street, Boston, MA",darronschall,https://www.flickr.com/photos/82511024@N00,flickr,https://www.flickr.com/photos/82511024@N00/2192790797,https://live.staticflickr.com/2397/2192790797_0f349d3cb0_b.jpg,"""Acorn Street, Boston, MA"" by darronschall, CC BY 2.0, via flickr",499c8bc6-38d7-4b81-bfc6-69581e1fe304,city street architecture daylight,4.002,46.146,100.0,0.193,2.62,-3.309,4.715,-3.705,0.936,1.295,0.248,12.483
0003_day_8bfc9e9f.jpg,bdfd64955bbdf642118436a958e4ebdde78c1f81404622a1521b9589764ec94d,day,0.7773,0.0,,cc0,1.0,https://creativecommons.org/publicdomain/zero/1.0/,View Tokyo streets night trails,,,rawpixel,https://www.rawpixel.com/image/5919437/photo-image-background-aesthetic-design,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9zdGF0aWMvaW1hZ2Uvd2Vic2l0ZS8yMDIyLTA0L2xyL2JzMTEzOS1pbWFnZS1rd3Z4NW43dy5qcGc.jpg,"""View Tokyo streets night trails"" by unknown, CC0 1.0, via rawpixel",8bfc9e9f-41c3-4c92-8879-06bd0535650b,tokyo street night,4.041,40.757,98.272,0.367,-0.376,-4.937,2.495,-1.887,0.853,1.683,0.291,8.695
0004_night_7dd37caf.jpg,2a7285bb5435d55ef1c79bf1564b62cca9e94901a4a727d1db229448b4045a3e,night,0.728,0.035,,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,"Yangshuo, China",Rod Waddington,https://www.flickr.com/photos/64607715@N05,flickr,https://www.flickr.com/photos/64607715@N05/52412173626,https://live.staticflickr.com/65535/52412173626_1758bb783a_b.jpg,"""Yangshuo, China"" by Rod Waddington, CC BY-SA 2.0, via flickr",7dd37caf-ebd4-4c29-a57e-0454d7d3d6e0,mountain landscape blue hour,1.645,11.254,70.667,0.664,0.547,-4.287,-1.41,-12.904,-2.023,0.009,0.32,8.635
0005_night_8f4a27c8.jpg,3cd0d92164182034993628f15fa89baa3a23fb373ac2664da2fdb52d8f162707,night,0.7134,0.0,,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Good Night San Francisco,j-dub1980(THANK YOU FOR 100k+ Views),https://www.flickr.com/photos/48048313@N02,flickr,https://www.flickr.com/photos/48048313@N02/8671736602,https://live.staticflickr.com/8529/8671736602_3410f3faf4_b.jpg,"""Good Night San Francisco"" by j-dub1980(THANK YOU FOR 100k+ Views), CC BY-SA 2.0, via flickr",8f4a27c8-7431-4519-a061-79e7dc63fc23,city blue hour skyline,2.198,27.856,89.595,0.449,4.997,-6.508,11.662,-5.428,4.677,-0.602,0.329,15.578
0006_day_2f582bf6.jpg,bae0d4151b1f09faf83d329831bc82679dbcdc5d38c47e30899defc71cc852ac,day,0.7018,0.0,,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,A snowy street,Takashi(aes256),https://www.flickr.com/photos/46151146@N04,flickr,https://www.flickr.com/photos/46151146@N04/8379143217,https://live.staticflickr.com/8227/8379143217_b19176459d_b.jpg,"""A snowy street"" by Takashi(aes256), CC BY-SA 2.0, via flickr",2f582bf6-69aa-452a-8315-291ae8cc7f05,tokyo street day,4.783,50.075,63.607,0.154,-1.185,-4.915,-2.134,-10.616,0.0,0.0,0.241,9.991
0007_day_356004ad.jpg,601b38f6813f05d79bebac45509e5d42aaa189b248cd1f7cf0601e01b4fad9b4,day,0.6839,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,San Antonio HDR Aerial View City Skyline at Blue Hour,Katie Haugland Bowen,https://www.flickr.com/photos/76771463@N02,flickr,https://www.flickr.com/photos/76771463@N02/11720922595,https://live.staticflickr.com/3710/11720922595_69aa1621dd_b.jpg,"""San Antonio HDR Aerial View City Skyline at Blue Hour"" by Katie Haugland Bowen, CC BY 2.0, via flickr",356004ad-b9ad-4642-b5a5-43fc4fc10177,city blue hour skyline,3.66,41.298,91.328,0.216,0.758,-5.503,4.277,-11.871,2.508,1.468,0.262,13.547
0008_day_c6019e77.jpg,db3d5a17173b5f2840e40fa14caa68ac8655af7892080fa5f05176993e47adcd,day,0.6795,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,"Coxe Glacier, Barry Arm, Prince William Sound, Alaska",Alaskan Dude,https://www.flickr.com/photos/72213316@N00,flickr,https://www.flickr.com/photos/72213316@N00/2700732672,https://live.staticflickr.com/3112/2700732672_1db946e2af_b.jpg,"""Coxe Glacier, Barry Arm, Prince William Sound, Alaska"" by Alaskan Dude, CC BY 2.0, via flickr",c6019e77-18af-4703-b5c0-0257f6816502,fjord landscape,7.501,42.725,96.95,0.428,-4.996,-4.675,-5.094,-1.829,-4.168,0.782,0.27,7.116
0009_night_f29e456f.jpg,8c369ce30289dae0463df0bd05373914298981676fb9b4a061e361d293d85446,night,0.6683,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,Rainy Sidewalk,Chris Yarzab,https://www.flickr.com/photos/10957255@N08,flickr,https://www.flickr.com/photos/10957255@N08/7703668312,https://live.staticflickr.com/7277/7703668312_e396b30328_b.jpg,"""Rainy Sidewalk"" by Chris Yarzab, CC BY 2.0, via flickr",f29e456f-a25c-43a3-8555-59f3f2ce9272,rainy street night reflections,0.0,9.776,76.424,0.801,3.605,-9.341,-7.023,-4.367,-13.601,0.508,0.603,20.466
0010_night_ddf2c3f7.jpg,736f35a3f8ce81fb08128da34fe73d456061bd35314e0a6adac9b647123aa7c2,night,0.6671,0.0,,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Neon Bar and club signs Wan Chai Hong Kong China,dcmaster,https://www.flickr.com/photos/76224602@N00,flickr,https://www.flickr.com/photos/76224602@N00/26416851916,https://live.staticflickr.com/1666/26416851916_52c91ea327_b.jpg,"""Neon Bar and club signs Wan Chai Hong Kong China"" by dcmaster, CC BY-SA 2.0, via flickr",ddf2c3f7-8059-448e-be29-1371293b57a1,hong kong street night neon,0.0,0.703,99.927,0.785,8.231,-4.683,56.077,-23.623,5.381,0.24,0.522,19.097
0011_day_8fa1265f.jpg,6201fdb546c6494673095c302ed6e55e2025be122f51db7e4cb4d6c61f4f534b,day,0.6664,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,Coastal Cliff,Rd. Vortex,https://www.flickr.com/photos/9000052@N02,flickr,https://www.flickr.com/photos/9000052@N02/21753475288,https://live.staticflickr.com/5805/21753475288_172d52c05d_b.jpg,"""Coastal Cliff"" by Rd. Vortex, CC BY 2.0, via flickr",8fa1265f-61d2-4e21-b73e-b8db32ad0471,coastal cliffs,0.665,54.346,90.728,0.186,2.068,-5.107,4.807,0.249,2.748,0.335,0.447,23.138
0012_day_7dbe0c87.jpg,b25e4e8dfe5c4a5254d732c11efc5256496bb572c129d64f031df8363ed8a9d4,day,0.6591,0.0,,pdm,1.0,https://creativecommons.org/publicdomain/mark/1.0/,"German Bavarian Alps, Mountain Fog Morning",moonjazz,https://www.flickr.com/photos/8398907@N02,flickr,https://www.flickr.com/photos/8398907@N02/4131488034,https://live.staticflickr.com/2741/4131488034_f0bbf165a6_b.jpg,"""German Bavarian Alps, Mountain Fog Morning"" by moonjazz, Public Domain Mark, via flickr",7dbe0c87-c1f3-4e71-a58d-5fd1507aebc5,lake mountains morning,0.058,55.737,99.286,0.238,1.248,-8.919,-0.332,-18.522,-0.281,-0.479,0.303,11.693
0013_night_3fda84ba.jpg,1f7cb72e08ae85af9997b44f5a00e4bc1d505836e049ce76a6bbaf68e70842b4,night,0.6291,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,Blaue Stunde,David Schiersner,https://www.flickr.com/photos/27280854@N03,flickr,https://www.flickr.com/photos/27280854@N03/9310173879,https://live.staticflickr.com/2840/9310173879_186cc008d4_b.jpg,"""Blaue Stunde"" by David Schiersner, CC BY 2.0, via flickr",3fda84ba-9b75-4fe0-bcab-6c7362de8016,mountain landscape blue hour,3.277,27.347,78.771,0.47,2.64,-7.589,3.762,-19.985,-0.904,-2.595,0.363,16.144
0014_day_d53c455e.jpg,a7342bf391c11021ef4d565a7c343f9abd4b42606c619a38ea341790c142b3e3,day,0.5964,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,Mongolia Landscape,tiarescott,https://www.flickr.com/photos/80403443@N00,flickr,https://www.flickr.com/photos/80403443@N00/44572132,https://live.staticflickr.com/27/44572132_421bc32c80_b.jpg,"""Mongolia Landscape"" by tiarescott, CC BY 2.0, via flickr",d53c455e-4a4c-4895-830a-cb36b0d12f37,snow mountains landscape,2.042,53.077,97.75,0.127,13.402,-19.525,6.388,-3.552,0.966,-2.812,0.352,19.417
0015_night_98019502.jpg,526307b309fac0261b18f6aca357c1012d0edf3ea35323997d82f547fc60e0a6,night,0.5937,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,ルート163 U.S. Route 163,Yuya Sekiguchi,https://www.flickr.com/photos/50802465@N04,flickr,https://www.flickr.com/photos/50802465@N04/8233143367,https://live.staticflickr.com/8070/8233143367_efd889396d_b.jpg,"""ルート163 U.S. Route 163"" by Yuya Sekiguchi, CC BY 2.0, via flickr",98019502-1fac-4a4c-9aa1-32358d79f473,mountain landscape blue hour,2.843,21.005,87.82,0.575,1.267,-3.026,1.502,-12.209,-1.344,-0.904,0.282,11.139
0016_day_6211ea0e.jpg,9bccd662ca209e7bfb3f1fe841fff16f7176875a7230ca232da61090422604b3,day,0.5887,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,New York Skyline,Jaime Olmo,https://www.flickr.com/photos/54873598@N00,flickr,https://www.flickr.com/photos/54873598@N00/7652561278,https://live.staticflickr.com/7251/7652561278_1cf1029789_b.jpg,"""New York Skyline"" by Jaime Olmo, CC BY 2.0, via flickr",6211ea0e-f7fb-4007-b5a5-d5ece41bbe4e,city night neon street,0.686,46.764,96.713,0.244,-0.621,-6.445,-2.125,-12.102,-1.545,-3.219,0.258,8.94
0017_day_46576b90.jpg,b031885cc6ca5410f51ac797fee3d0473fc62dbc488842440b4ac22758c6c692,day,0.5778,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,Fjord landscape 04,rosergoula,https://www.flickr.com/photos/29958810@N08,flickr,https://www.flickr.com/photos/29958810@N08/2813559823,https://live.staticflickr.com/3055/2813559823_1018690432_b.jpg,"""Fjord landscape 04"" by rosergoula, CC BY 2.0, via flickr",46576b90-b3ce-4ee5-a7f1-195ce66b8a1a,fjord landscape,5.939,49.566,91.108,0.251,-3.009,-4.749,-5.366,-6.295,-5.592,-4.468,0.224,7.663
0018_night_ec7578b9.jpg,42e246145b7ea3b146855f2ce1fcfe082103841587527f4ae6b20b48ce83ad92,night,0.5467,0.003,,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Welcome in HK,Laure Wayaffe,https://www.flickr.com/photos/22634122@N05,flickr,https://www.flickr.com/photos/22634122@N05/2298430071,https://live.staticflickr.com/3085/2298430071_51b503da8a_b.jpg,"""Welcome in HK"" by Laure Wayaffe, CC BY-SA 2.0, via flickr",ec7578b9-be67-4f71-a39b-e029276a618e,hong kong street night neon,2.659,32.533,98.969,0.376,8.255,-2.434,6.921,7.375,-3.073,0.042,0.387,17.23
0019_night_6e6efa58.jpg,83a858e8b213680bf12a9705bb4d04e48c6db9ca92556b89391f506d77bd52f1,night,0.5299,0.0,,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Lightning Rail,Kurayba,https://www.flickr.com/photos/48503330@N08,flickr,https://www.flickr.com/photos/48503330@N08/7573153642,https://live.staticflickr.com/7280/7573153642_80b1e9cd88_b.jpg,"""Lightning Rail"" by Kurayba, CC BY-SA 2.0, via flickr",6e6efa58-95c9-49ea-b39b-6897b21925d8,rainy street night reflections,0.274,10.321,93.491,0.69,3.927,-12.556,6.751,-31.304,-3.674,-3.463,0.583,19.763
0020_night_eedf9870.jpg,511859fe24ab256e10608b5e3b4ee7694d352cecc65447fbb23db5a76f77e3dc,night,0.5207,0.0,,by,2.0,https://creativecommons.org/licenses/by/2.0/,Street,OiMax,https://www.flickr.com/photos/72396314@N00,flickr,https://www.flickr.com/photos/72396314@N00/15419452562,https://live.staticflickr.com/2941/15419452562_042d4c147e_b.jpg,"""Street"" by OiMax, CC BY 2.0, via flickr",eedf9870-6fb4-497b-b520-9e536da1f86b,tokyo street night,0.588,5.175,86.551,0.802,1.587,-2.857,9.735,-2.767,3.655,-3.25,0.317,6.855
