number,picked,openverse_id,license,license_version,creator,title,source,landing_url,attribution
160,True,5a6caf9c-5dcc-49c1-a7e6-2413ab32209f,by-sa,2.0,halfrain,Maiko Walk 23,flickr,https://www.flickr.com/photos/54217251@N05/15396179483,"""Maiko Walk 23"" by halfrain, CC BY-SA 2.0, via flickr"
154,True,87e3ca24-b08e-45b7-bb3b-aaf36c9f94f9,by-sa,2.0,halfrain,Maiko Walk 40,flickr,https://www.flickr.com/photos/54217251@N05/15908194709,"""Maiko Walk 40"" by halfrain, CC BY-SA 2.0, via flickr"
140,True,dab5a6b9-cb20-48dc-a07f-c6bc7bb500cd,by-sa,2.0,halfrain,Maiko Walk 16,flickr,https://www.flickr.com/photos/54217251@N05/15802388007,"""Maiko Walk 16"" by halfrain, CC BY-SA 2.0, via flickr"
125,True,9f459ff2-4dfc-473b-a710-395ff8ab2e52,by-sa,2.0,halfrain,Maiko Walk 26,flickr,https://www.flickr.com/photos/54217251@N05/15845651258,"""Maiko Walk 26"" by halfrain, CC BY-SA 2.0, via flickr"
135,True,703dc922-d026-4632-8dc1-cb96925178ec,by-sa,2.0,halfrain,Maiko Walk 27,flickr,https://www.flickr.com/photos/54217251@N05/15419493763,"""Maiko Walk 27"" by halfrain, CC BY-SA 2.0, via flickr"
131,True,ba41e634-e9bc-4603-a991-f6594e3e945f,by-sa,2.0,halfrain,Maiko Walk 01,flickr,https://www.flickr.com/photos/54217251@N05/15299887663,"""Maiko Walk 01"" by halfrain, CC BY-SA 2.0, via flickr"
248,True,4640504a-c4f9-474a-a12a-0fdabbb87f16,by-sa,2.0,halfrain,Hydrants,flickr,https://www.flickr.com/photos/54217251@N05/13659618365,"""Hydrants"" by halfrain, CC BY-SA 2.0, via flickr"
207,True,8ccfe304-e4d8-4a19-b0e6-5562270c3e72,by,2.0,Mar Yung,Fuji Pro 400H - Takumar 28mm F3.5 - Praktica MTL5B,flickr,https://www.flickr.com/photos/149409562@N06/43552234925,"""Fuji Pro 400H - Takumar 28mm F3.5 - Praktica MTL5B"" by Mar Yung, CC BY 2.0, via flickr"
201,True,e23c5431-b84f-46dc-840d-62c6274c5c5c,by,2.0,grenez,Canon A-1 + Fuji Pro 400H,flickr,https://www.flickr.com/photos/59016981@N07/43932067010,"""Canon A-1 + Fuji Pro 400H"" by grenez, CC BY 2.0, via flickr"
101,True,ee5c5606-dfed-4c13-b4a0-a258dff07a43,by,2.0,Mar Yung,Fujicolor C200 / Asahi S.M.C. Takumar 28/3.5,flickr,https://www.flickr.com/photos/149409562@N06/49815782177,"""Fujicolor C200 / Asahi S.M.C. Takumar 28/3.5"" by Mar Yung, CC BY 2.0, via flickr"
139,True,2ea6c78a-ac44-4bc1-86dd-10ef55938ee2,by-sa,2.0,halfrain,Maiko Walk 28,flickr,https://www.flickr.com/photos/54217251@N05/15854014929,"""Maiko Walk 28"" by halfrain, CC BY-SA 2.0, via flickr"
144,True,9efa65b5-b159-46df-9f7c-278b113d93bd,by-sa,2.0,halfrain,Kawasaki,flickr,https://www.flickr.com/photos/54217251@N05/16500269755,"""Kawasaki"" by halfrain, CC BY-SA 2.0, via flickr"
156,True,29bd00c6-aad9-40a9-a751-6d290dcbdf2a,by-sa,2.0,halfrain,Maiko Walk 22,flickr,https://www.flickr.com/photos/54217251@N05/15824826667,"""Maiko Walk 22"" by halfrain, CC BY-SA 2.0, via flickr"
