label,look,file,license,license_version,creator,title,source,landing_url,attribution,score
1a,natural,data/styles/look_gallery/natural/42c44a37-3df0-41fe-9781-f84272d58c2c.jpg,by,2.0,D-Stanley,Samil Lake,flickr,https://www.flickr.com/photos/79721788@N00/5063895084,"""Samil Lake"" by D-Stanley, CC BY 2.0, via flickr",0.784
1b,natural,data/styles/look_gallery/natural/08847725-5e0c-4898-a6d8-fb8d63b7c4b6.jpg,by,2.0,VinothChandar,Interlaken!,flickr,https://www.flickr.com/photos/44345361@N06/5417409353,"""Interlaken!"" by VinothChandar, CC BY 2.0, via flickr",0.776
1c,natural,data/styles/look_gallery/natural/808ae859-fec1-4ffa-ace2-f6d2e8cc5f56.jpg,by,2.0,rjshade,"Chamonix, France",flickr,https://www.flickr.com/photos/89466603@N00/7951636730,"""Chamonix, France"" by rjshade, CC BY 2.0, via flickr",0.758
1d,natural,data/styles/look_gallery/natural/2013dee2-01d9-424a-bf4a-0e8e16b558f9.jpg,by,2.0,Giuseppe Milo (www.pixael.com),Irish Cliffs - Ireland - Seascape photography,flickr,https://www.flickr.com/photos/87690240@N03/44536639410,"""Irish Cliffs - Ireland - Seascape photography"" by Giuseppe Milo (www.pixael.com), CC BY 2.0, via flickr",0.755
2a,vivid,data/styles/look_gallery/vivid/41fde515-aea0-4066-9157-9b329509db0f.jpg,by,2.0,Ian Sane,Autumn Planet,flickr,https://www.flickr.com/photos/31246066@N04/5141676190,"""Autumn Planet"" by Ian Sane, CC BY 2.0, via flickr",0.924
2b,vivid,data/styles/look_gallery/vivid/6f9b8c4a-7a28-4d37-a588-899779e54a14.jpg,by-sa,2.0,joiseyshowaa,"Red trees, LWPF, & a path",flickr,https://www.flickr.com/photos/30201239@N00/3058197366,"""Red trees, LWPF, & a path"" by joiseyshowaa, CC BY-SA 2.0, via flickr",0.910
2c,vivid,data/styles/look_gallery/vivid/2bc81d97-1e1f-4ebc-92bc-6b5ddf10a684.jpg,by-sa,2.0,See-ming Lee (SML),Sunset by the Bay / SML.20110203.7D.07258,flickr,https://www.flickr.com/photos/48973657@N00/5457331865,"""Sunset by the Bay / SML.20110203.7D.07258"" by See-ming Lee (SML), CC BY-SA 2.0, via flickr",0.862
2d,vivid,data/styles/look_gallery/vivid/1f222ffa-21c1-49cc-b737-29f40dc84c12.jpg,by,2.0,mellowrapp,Autumn Mountains,flickr,https://www.flickr.com/photos/23780610@N02/2265175851,"""Autumn Mountains"" by mellowrapp, CC BY 2.0, via flickr",0.815
3a,golden_film,data/styles/look_gallery/golden_film/55d8cf5a-b43e-440a-8ed0-38bccd999c77.jpg,by,2.0,Malcolm Carlaw,Peaceful Evening in Dover Canyon,flickr,https://www.flickr.com/photos/48865807@N06/14245473056,"""Peaceful Evening in Dover Canyon"" by Malcolm Carlaw, CC BY 2.0, via flickr",0.630
3b,golden_film,data/styles/look_gallery/golden_film/14476ff2-7c94-4349-9d3b-cb1f6423a55e.jpg,by,2.0,PiktourUK,Muddy paddy fields with added Grit,flickr,https://www.flickr.com/photos/69706441@N03/33236022622,"""Muddy paddy fields with added Grit"" by PiktourUK, CC BY 2.0, via flickr",0.616
3c,golden_film,data/styles/look_gallery/golden_film/25813ca3-1c76-49b2-9771-6c4a6f57380a.jpg,by,2.0,swipcat,Kodak Portra 400,flickr,https://www.flickr.com/photos/144671946@N05/46863489982,"""Kodak Portra 400"" by swipcat, CC BY 2.0, via flickr",0.607
3d,golden_film,data/styles/look_gallery/golden_film/de790fb4-ba58-4e03-b969-0055eed072f3.jpg,by,2.0,Sebastien Morin,MINI Sunset burn,flickr,https://www.flickr.com/photos/67756888@N06/9564041019,"""MINI Sunset burn"" by Sebastien Morin, CC BY 2.0, via flickr",0.579
4a,airy_pastel,data/styles/look_gallery/airy_pastel/cf75d2bb-1ef9-47dc-a2fe-b1c537d600d6.jpg,by,2.0,Christopher Crouzet,Not Many Around,flickr,https://www.flickr.com/photos/25338288@N05/7745642816,"""Not Many Around"" by Christopher Crouzet, CC BY 2.0, via flickr",0.890
4b,airy_pastel,data/styles/look_gallery/airy_pastel/829471c8-fbc3-47af-8956-4267fad4fe5e.jpg,by,2.0,Wilson Hui,20130811-164-of-365,flickr,https://www.flickr.com/photos/51942038@N04/9492686216,"""20130811-164-of-365"" by Wilson Hui, CC BY 2.0, via flickr",0.681
4c,airy_pastel,data/styles/look_gallery/airy_pastel/cf1126e6-e3e5-46c1-8a11-7a8f0b625767.jpg,by,2.0,Gemma Stiles,Tranquil,flickr,https://www.flickr.com/photos/57254022@N03/10266075075,"""Tranquil"" by Gemma Stiles, CC BY 2.0, via flickr",0.678
4d,airy_pastel,data/styles/look_gallery/airy_pastel/d5e2e869-f75b-4896-92b1-e2a4539b1569.jpg,by,2.0,jinterwas,Pastel skies #2 (textured),flickr,https://www.flickr.com/photos/32135758@N02/5321606604,"""Pastel skies #2 (textured)"" by jinterwas, CC BY 2.0, via flickr",0.661
5a,moody_dark,data/styles/look_gallery/moody_dark/4eee42a0-8af2-43be-b922-3828c50244d6.jpg,by,2.0,jumpinjimmyjava,Can't See the Forest for the Trees,flickr,https://www.flickr.com/photos/59898414@N00/10580192713,"""Can't See the Forest for the Trees"" by jumpinjimmyjava, CC BY 2.0, via flickr",0.921
5b,moody_dark,data/styles/look_gallery/moody_dark/416347b4-52c7-4523-b2ec-c23cb39e06a3.jpg,by,2.0,jinterwas,Stormy clouds,flickr,https://www.flickr.com/photos/32135758@N02/5321107545,"""Stormy clouds"" by jinterwas, CC BY 2.0, via flickr",0.891
5c,moody_dark,data/styles/look_gallery/moody_dark/1b6fede7-bc96-4c0b-bcd7-5c2929ccd709.jpg,by,2.0,CafeBici,Forest,flickr,https://www.flickr.com/photos/80817664@N00/2286693680,"""Forest"" by CafeBici, CC BY 2.0, via flickr",0.882
5d,moody_dark,data/styles/look_gallery/moody_dark/0f14710e-85ad-4a19-8df2-1ce1edd157e3.jpg,by-sa,2.0,bhanakam,Morning,flickr,https://www.flickr.com/photos/135121422@N02/48488996546,"""Morning"" by bhanakam, CC BY-SA 2.0, via flickr",0.852
6a,teal_orange,data/styles/look_gallery/teal_orange/863439f6-1b4e-4ab3-bc6e-d924143d4970.jpg,by,2.0,GaryTube,'Cinematic Photography' first try,flickr,https://www.flickr.com/photos/41669760@N05/6637602571,"""'Cinematic Photography' first try"" by GaryTube, CC BY 2.0, via flickr",0.910
6b,teal_orange,data/styles/look_gallery/teal_orange/514372c0-6d67-42e9-9c66-f1d9bfe4d16c.jpg,by,2.0,Nagarjun,Teal and orange,flickr,https://www.flickr.com/photos/64924693@N00/54199804773,"""Teal and orange"" by Nagarjun, CC BY 2.0, via flickr",0.692
6c,teal_orange,data/styles/look_gallery/teal_orange/db57d96d-ee43-4e39-becb-50af82d047a0.jpg,by,2.0,mescon,Hjalmar Brantingsgatan,flickr,https://www.flickr.com/photos/23666014@N08/5951251548,"""Hjalmar Brantingsgatan"" by mescon, CC BY 2.0, via flickr",0.611
6d,teal_orange,data/styles/look_gallery/teal_orange/98b81d70-9b18-4fd5-a739-bfdb9fc32d1d.jpg,by,2.0,r-z,That mountain (again),flickr,https://www.flickr.com/photos/66795748@N00/4069113944,"""That mountain (again)"" by r-z, CC BY 2.0, via flickr",0.591
7a,faded_film,data/styles/look_gallery/faded_film/c5a9beff-4a61-4e0f-8356-8a912b10f485.jpg,by,2.0,Janitors,Fujifilm X100T sample photo,flickr,https://www.flickr.com/photos/65265630@N03/16292214266,"""Fujifilm X100T sample photo"" by Janitors, CC BY 2.0, via flickr",0.689
7b,faded_film,data/styles/look_gallery/faded_film/906b6b93-3de3-4931-833d-a2e5ac291268.jpg,by-sa,2.0,Toffee Maky,Out of My Window I (my lens),flickr,https://www.flickr.com/photos/86543134@N03/11147158946,"""Out of My Window I (my lens)"" by Toffee Maky, CC BY-SA 2.0, via flickr",0.671
7c,faded_film,data/styles/look_gallery/faded_film/f075f925-7fc8-46f9-a3eb-c37c534b9128.jpg,by,2.0,Christopher Crouzet,Wrinkled Chevrolet,flickr,https://www.flickr.com/photos/25338288@N05/15240341966,"""Wrinkled Chevrolet"" by Christopher Crouzet, CC BY 2.0, via flickr",0.643
7d,faded_film,data/styles/look_gallery/faded_film/0423dc91-69fd-4b4d-b985-031dd658b778.jpg,by,2.0,Khánh Hmoong,"Đồng Văn, Hà Giang 12/2014",flickr,https://www.flickr.com/photos/7997148@N05/15871781797,"""Đồng Văn, Hà Giang 12/2014"" by Khánh Hmoong, CC BY 2.0, via flickr",0.541
8a,neon_night,data/styles/look_gallery/neon_night/2377de89-d7d1-4af3-8fd3-bab39239987b.jpg,by-sa,2.0,mugley,road to salvation,flickr,https://www.flickr.com/photos/91256982@N00/2463217928,"""road to salvation"" by mugley, CC BY-SA 2.0, via flickr",0.901
8b,neon_night,data/styles/look_gallery/neon_night/d35b1e63-6826-45c0-b4ab-7668b2637267.jpg,by,2.0,OiMax,Neon,flickr,https://www.flickr.com/photos/72396314@N00/1355519406,"""Neon"" by OiMax, CC BY 2.0, via flickr",0.862
8c,neon_night,data/styles/look_gallery/neon_night/f8d111c2-f4ed-438c-891c-e8488286f704.jpg,by,2.0,YLev,Night fountain,flickr,https://www.flickr.com/photos/48110224@N08/8427314133,"""Night fountain"" by YLev, CC BY 2.0, via flickr",0.848
