file,sha256,regime,score,person_frac,license,license_version,license_url,title,creator,creator_url,source,landing_url,image_url,attribution,openverse_id,query,L_p01,L_p50,L_p99,shadow_frac,shadow_a,shadow_b,mid_a,mid_b,high_a,high_b,sat_mean
0000_day_82ba3a93.jpg,885c7b5d4344557fd08740f6426c5294c61efddb53f4e6cbce51deeea9f32d6d,day,0.8903,0.636,by,2.0,https://creativecommons.org/licenses/by/2.0/,GS: Street Performer: The crawling stage.,iMorpheus,https://www.flickr.com/photos/48889077511@N01,flickr,https://www.flickr.com/photos/48889077511@N01/353392273,https://live.staticflickr.com/152/353392273_ecfc8cec77_b.jpg,"""GS: Street Performer: The crawling stage."" by iMorpheus, CC BY 2.0, via flickr",82ba3a93-3477-434d-80d7-4539d8c38fc8,tokyo street portrait night,4.576,48.8,79.37,0.321,4.448,-6.277,2.684,-7.28,-6.125,2.787,0.213
0001_day_864f96a3.jpg,6258573e0cdb78664bc98157e2b346cfa039a9c3c00f724353f67ba5114bad09,day,0.8588,0.331,by,2.0,https://creativecommons.org/licenses/by/2.0/,Light Leaks Upon,Nestor's Blurrylife,https://www.flickr.com/photos/7711906@N07,flickr,https://www.flickr.com/photos/7711906@N07/5339562798,https://live.staticflickr.com/5088/5339562798_1614e3022e.jpg,"""Light Leaks Upon"" by Nestor's Blurrylife, CC BY 2.0, via flickr",864f96a3-f322-43e2-8c0d-d67f4ec8ea75,seoul street portrait,4.191,54.523,96.267,0.186,0.812,-3.878,-0.291,-5.815,0.821,1.844,0.237
0002_day_964b923c.jpg,d4b85750b6c547a324711e696d5acf9e6336c8feb8d53e135b783d3d6f550868,day,0.7943,0.552,by,2.0,https://creativecommons.org/licenses/by/2.0/,At his work,Patis Paton,https://www.flickr.com/photos/95198794@N00,flickr,https://www.flickr.com/photos/95198794@N00/14771347507,https://live.staticflickr.com/5578/14771347507_d21f4cbd36_b.jpg,"""At his work"" by Patis Paton, CC BY 2.0, via flickr",964b923c-6150-4e0d-bed7-514bba2a95a0,street portrait city daylight,1.959,52.041,94.447,0.349,2.92,-4.831,3.843,0.038,0.879,5.155,0.262
0003_day_f83913ce.jpg,3a14fb8104c6996b83f01c76d87c0b8b54119579d7661ebd9fed3b7a91a4ee66,day,0.7799,0.652,by,2.0,https://creativecommons.org/licenses/by/2.0/,"Two Friends, Two Days and a Tokyo",LimpingFrog Productions,https://www.flickr.com/photos/110112536@N05,flickr,https://www.flickr.com/photos/110112536@N05/18115167888,https://live.staticflickr.com/7768/18115167888_c0ea013939_b.jpg,"""Two Friends, Two Days and a Tokyo"" by LimpingFrog Productions, CC BY 2.0, via flickr",f83913ce-c633-44bb-8d48-22e22dcc0b74,tokyo street portrait night,4.204,42.157,100.0,0.413,0.651,-6.709,3.361,-1.682,-3.301,4.299,0.189
0004_day_bd84f8a9.jpg,f043493fc012de7164c76129363264066da2339b75e73061c1afd04f16463450,day,0.7747,0.335,by,2.0,https://creativecommons.org/licenses/by/2.0/,Phnom Penh Slums,ND Strupler,https://www.flickr.com/photos/9650814@N04,flickr,https://www.flickr.com/photos/9650814@N04/7800146010,https://live.staticflickr.com/8297/7800146010_d364d25270_b.jpg,"""Phnom Penh Slums"" by ND Strupler, CC BY 2.0, via flickr",bd84f8a9-542c-4cd2-9cce-46658b73bff6,street portrait city daylight,1.996,53.776,98.792,0.175,3.412,3.164,4.161,2.817,1.058,0.74,0.233
0005_day_643a6b79.jpg,c200962ec1302fc20e61ddc22e417560999cf24c9c0ba07245de449177dc7c78,day,0.7662,0.456,by,2.0,https://creativecommons.org/licenses/by/2.0/,"Humphreys, Pyeongtaek students experience 'fun' at summer school",USAG-Humphreys,https://www.flickr.com/photos/31687107@N07,flickr,https://www.flickr.com/photos/31687107@N07/6075026396,https://live.staticflickr.com/6182/6075026396_27f572401c_b.jpg,"""Humphreys, Pyeongtaek students experience 'fun' at summer school"" by USAG-Humphreys, CC BY 2.0, via flickr",643a6b79-02a8-48e4-9a84-1cc261bea9ad,seoul street portrait,7.381,66.117,100.0,0.175,0.296,-6.518,6.539,-0.707,1.337,2.096,0.191
0006_day_0d74517a.jpg,8a6ac97205b64d5fd78573e7456ba1e1ec1891720e1d93bfc6d91f21be0f4a55,day,0.7505,0.313,by,2.0,https://creativecommons.org/licenses/by/2.0/,"Two Friends, Two Days and a Tokyo",LimpingFrog Productions,https://www.flickr.com/photos/110112536@N05,flickr,https://www.flickr.com/photos/110112536@N05/18276517646,https://live.staticflickr.com/7777/18276517646_dbe96fb05d_b.jpg,"""Two Friends, Two Days and a Tokyo"" by LimpingFrog Productions, CC BY 2.0, via flickr",0d74517a-c409-4df0-9dca-f1c0e901d89b,tokyo street portrait night,5.593,55.493,100.0,0.211,1.543,-4.262,7.22,5.484,1.414,2.854,0.168
0007_day_78ea8f38.jpg,88296af1d2276ef0e26f5ad2744394d3571d0297261b160efab97c3b9cb2bd4b,day,0.7439,0.48,by,2.0,https://creativecommons.org/licenses/by/2.0/,Amaris K.,Justin Wolfe,https://www.flickr.com/photos/18167556@N05,flickr,https://www.flickr.com/photos/18167556@N05/7484284266,https://live.staticflickr.com/8145/7484284266_ed2a26744c_b.jpg,"""Amaris K."" by Justin Wolfe, CC BY 2.0, via flickr",78ea8f38-8373-4587-ab9d-60f93d596f15,street portrait bokeh,1.371,58.953,100.0,0.27,4.321,-3.115,4.215,0.916,0.257,-0.682,0.162
0008_day_96e2a68d.jpg,906d150716e8a2203bb37da259ef445e01ca0b79a3f5dd4da988ca54683220d1,day,0.7254,0.128,by,2.0,https://creativecommons.org/licenses/by/2.0/,Chatting,watchsmart,https://www.flickr.com/photos/7741046@N06,flickr,https://www.flickr.com/photos/7741046@N06/485968100,https://live.staticflickr.com/193/485968100_122bdef05e_b.jpg,"""Chatting"" by watchsmart, CC BY 2.0, via flickr",96e2a68d-d1e1-4dfa-946e-ead2a1ef545d,street portrait city daylight,4.677,55.24,89.032,0.084,4.154,-2.729,1.01,1.116,1.219,1.912,0.103
0009_day_77307f1a.jpg,817cfcae885f1737492b60e9177d76c4f89380cb1a3c91e44571d338d1466cfb,day,0.718,0.359,by,2.0,https://creativecommons.org/licenses/by/2.0/,Play that funky music white boy,AMELIA SPEED,https://www.flickr.com/photos/38785544@N03,flickr,https://www.flickr.com/photos/38785544@N03/3734179669,https://live.staticflickr.com/2460/3734179669_e8da33003d_b.jpg,"""Play that funky music white boy"" by AMELIA SPEED, CC BY 2.0, via flickr",77307f1a-b855-45dd-9807-bccea09cadc9,urban portrait evening,2.819,38.946,88.863,0.285,7.674,-10.001,5.166,6.418,-7.641,3.909,0.314
